03-04-2023_11-03-21
Title: seah sok eng hearing aid 
Right Hearing Aid Serial Number: NEE5027
Left Hearing Aid Serial Number: None
Data rate: 50
Available sensors: Accelerometer
Accelerometer G: 1
Notes: 

11:03:21.726 - Walking
11:03:25.897 - motion sensor: [x: 0.662109375, y: 0.083984375, z: 0.6220703125] [x: 0.67578125, y: 0.0859375, z: 0.6474609375] [x: 0.6484375, y: 0.0830078125, z: 0.662109375] [x: 0.6455078125, y: 0.0849609375, z: 0.681640625]
11:03:25.978 - motion sensor: [x: 0.65625, y: 0.0732421875, z: 0.6953125] [x: 0.6357421875, y: 0.0625, z: 0.6953125] [x: 0.6494140625, y: 0.048828125, z: 0.7080078125] [x: 0.75, y: 0.0439453125, z: 0.7626953125]
11:03:26.076 - motion sensor: [x: 0.767578125, y: 0.0439453125, z: 0.8115234375] [x: 0.8935546875, y: 0.0791015625, z: 0.859375] [x: 1.0126953125, y: 0.0693359375, z: 0.84375] [x: 0.9365234375, y: -0.01953125, z: 0.734375]
11:03:26.139 - motion sensor: [x: 0.90625, y: -0.07421875, z: 0.7314453125] [x: 0.8447265625, y: -0.126953125, z: 0.7109375] [x: 0.75, y: -0.1376953125, z: 0.6484375] [x: 0.7236328125, y: -0.1083984375, z: 0.5751953125]
11:03:26.239 - motion sensor: [x: 0.7509765625, y: -0.0634765625, z: 0.5537109375] [x: 0.740234375, y: -0.0400390625, z: 0.541015625] [x: 0.6572265625, y: -0.0283203125, z: 0.51953125] [x: 0.58984375, y: -0.00390625, z: 0.5224609375]
11:03:26.318 - motion sensor: [x: 0.56640625, y: 0.02734375, z: 0.5302734375] [x: 0.58984375, y: 0.056640625, z: 0.5283203125] [x: 0.6484375, y: 0.0693359375, z: 0.5341796875] [x: 0.69140625, y: 0.0615234375, z: 0.537109375]
11:03:26.378 - motion sensor: [x: 0.7197265625, y: 0.044921875, z: 0.529296875] [x: 0.7568359375, y: 0.02734375, z: 0.5419921875] [x: 0.74609375, y: 0.0068359375, z: 0.5615234375] [x: 0.7392578125, y: -0.0166015625, z: 0.58984375]
11:03:26.459 - motion sensor: [x: 0.69921875, y: -0.05078125, z: 0.5966796875] [x: 0.6953125, y: -0.0693359375, z: 0.607421875] [x: 0.69921875, y: -0.0791015625, z: 0.6162109375] [x: 0.74609375, y: -0.07421875, z: 0.634765625]
11:03:26.560 - motion sensor: [x: 0.791015625, y: -0.0634765625, z: 0.6484375] [x: 0.865234375, y: -0.0361328125, z: 0.6884765625] [x: 0.9140625, y: -0.0322265625, z: 0.740234375] [x: 0.9765625, y: 0.00390625, z: 0.7734375]
11:03:26.618 - motion sensor: [x: 1.0126953125, y: 0.0224609375, z: 0.806640625] [x: 0.78125, y: 0.0224609375, z: 0.740234375] [x: 0.6240234375, y: 0.0595703125, z: 0.7099609375] [x: 0.64453125, y: 0.1064453125, z: 0.74609375]
11:03:26.695 - motion sensor: [x: 0.6728515625, y: 0.1357421875, z: 0.76171875] [x: 0.6806640625, y: 0.138671875, z: 0.7138671875] [x: 0.7080078125, y: 0.1201171875, z: 0.671875] [x: 0.7255859375, y: 0.1005859375, z: 0.6455078125]
11:03:26.774 - motion sensor: [x: 0.6796875, y: 0.0869140625, z: 0.5986328125] [x: 0.6630859375, y: 0.0888671875, z: 0.5625] [x: 0.63671875, y: 0.0927734375, z: 0.537109375] [x: 0.626953125, y: 0.09765625, z: 0.5263671875]
11:03:26.856 - motion sensor: [x: 0.638671875, y: 0.099609375, z: 0.521484375] [x: 0.6513671875, y: 0.09765625, z: 0.517578125] [x: 0.6630859375, y: 0.0908203125, z: 0.51953125] [x: 0.6455078125, y: 0.080078125, z: 0.5400390625]
11:03:26.954 - motion sensor: [x: 0.6357421875, y: 0.080078125, z: 0.576171875] [x: 0.65234375, y: 0.0849609375, z: 0.6142578125] [x: 0.6728515625, y: 0.0869140625, z: 0.6474609375] [x: 0.6650390625, y: 0.0771484375, z: 0.6748046875]
11:03:27.012 - motion sensor: [x: 0.673828125, y: 0.078125, z: 0.7021484375] [x: 0.712890625, y: 0.07421875, z: 0.720703125] [x: 0.6748046875, y: 0.072265625, z: 0.6982421875] [x: 0.7197265625, y: 0.080078125, z: 0.701171875]
11:03:27.091 - motion sensor: [x: 0.8193359375, y: 0.0732421875, z: 0.759765625] [x: 0.7978515625, y: 0.0517578125, z: 0.794921875] [x: 0.9013671875, y: 0.05859375, z: 0.8369140625] [x: 0.970703125, y: 0.037109375, z: 0.828125]
11:03:27.174 - motion sensor: [x: 0.8642578125, y: -0.029296875, z: 0.7236328125] [x: 0.8125, y: -0.076171875, z: 0.66796875] [x: 0.787109375, y: -0.119140625, z: 0.6259765625] [x: 0.7314453125, y: -0.1474609375, z: 0.580078125]
11:03:27.252 - motion sensor: [x: 0.693359375, y: -0.126953125, z: 0.5244140625] [x: 0.703125, y: -0.078125, z: 0.5146484375] [x: 0.7490234375, y: -0.0302734375, z: 0.52734375] [x: 0.7216796875, y: -0.0068359375, z: 0.5185546875]
11:03:27.338 - motion sensor: [x: 0.6728515625, y: 0.009765625, z: 0.533203125] [x: 0.6396484375, y: 0.021484375, z: 0.5537109375] [x: 0.625, y: 0.044921875, z: 0.5703125] [x: 0.634765625, y: 0.0703125, z: 0.5908203125]
11:03:27.439 - motion sensor: [x: 0.6630859375, y: 0.087890625, z: 0.591796875] [x: 0.697265625, y: 0.0791015625, z: 0.5888671875] [x: 0.7177734375, y: 0.0537109375, z: 0.6064453125] [x: 0.6884765625, y: 0.03125, z: 0.6201171875]
11:03:27.520 - motion sensor: [x: 0.66796875, y: 0.0126953125, z: 0.634765625] [x: 0.666015625, y: -0.0009765625, z: 0.6611328125] [x: 0.71484375, y: -0.0185546875, z: 0.68359375] [x: 0.751953125, y: -0.0498046875, z: 0.68359375]
11:03:27.579 - motion sensor: [x: 0.728515625, y: -0.0751953125, z: 0.650390625] [x: 0.7607421875, y: -0.08203125, z: 0.6416015625] [x: 0.7998046875, y: -0.0810546875, z: 0.6748046875] [x: 0.9033203125, y: -0.0693359375, z: 0.7421875]
11:03:27.659 - motion sensor: [x: 0.87890625, y: -0.0615234375, z: 0.7666015625] [x: 1.0234375, y: -0.0205078125, z: 0.8095703125] [x: 0.9248046875, y: -0.01953125, z: 0.7607421875] [x: 0.6728515625, y: 0.0322265625, z: 0.6943359375]
11:03:27.737 - motion sensor: [x: 0.658203125, y: 0.087890625, z: 0.7177734375] [x: 0.693359375, y: 0.134765625, z: 0.7470703125] [x: 0.7080078125, y: 0.1669921875, z: 0.7216796875] [x: 0.7353515625, y: 0.1630859375, z: 0.6728515625]
11:03:27.820 - motion sensor: [x: 0.71875, y: 0.1328125, z: 0.6220703125] [x: 0.646484375, y: 0.1015625, z: 0.5634765625] [x: 0.5927734375, y: 0.0810546875, z: 0.513671875] [x: 0.5888671875, y: 0.0712890625, z: 0.4951171875]
11:03:27.898 - motion sensor: [x: 0.603515625, y: 0.068359375, z: 0.470703125] [x: 0.6044921875, y: 0.068359375, z: 0.45703125] [x: 0.6259765625, y: 0.0693359375, z: 0.484375] [x: 0.6533203125, y: 0.06640625, z: 0.548828125]
11:03:27.977 - motion sensor: [x: 0.6494140625, y: 0.0791015625, z: 0.615234375] [x: 0.6650390625, y: 0.1005859375, z: 0.66796875] [x: 0.6572265625, y: 0.1181640625, z: 0.685546875] [x: 0.6533203125, y: 0.1240234375, z: 0.7001953125]
11:03:28.057 - motion sensor: [x: 0.6064453125, y: 0.109375, z: 0.7138671875] [x: 0.6240234375, y: 0.095703125, z: 0.74609375] [x: 0.63671875, y: 0.0751953125, z: 0.7724609375] [x: 0.57421875, y: 0.052734375, z: 0.75]
11:03:28.138 - motion sensor: [x: 0.59765625, y: 0.0517578125, z: 0.7587890625] [x: 0.7412109375, y: 0.0732421875, z: 0.8095703125] [x: 0.806640625, y: 0.0888671875, z: 0.8291015625] [x: 0.875, y: 0.111328125, z: 0.8212890625]
11:03:28.213 - motion sensor: [x: 0.9638671875, y: 0.08203125, z: 0.8134765625] [x: 0.908203125, y: 0.0087890625, z: 0.7529296875] [x: 0.8916015625, y: -0.046875, z: 0.736328125] [x: 0.8369140625, y: -0.087890625, z: 0.69921875]
11:03:28.298 - motion sensor: [x: 0.7734375, y: -0.095703125, z: 0.6494140625] [x: 0.7685546875, y: -0.072265625, z: 0.6171875] [x: 0.79296875, y: -0.0380859375, z: 0.599609375] [x: 0.7431640625, y: -0.029296875, z: 0.564453125]
11:03:28.399 - motion sensor: [x: 0.662109375, y: -0.0283203125, z: 0.537109375] [x: 0.611328125, y: -0.025390625, z: 0.5205078125] [x: 0.591796875, y: -0.013671875, z: 0.5146484375] [x: 0.5908203125, y: 0.001953125, z: 0.5126953125]
11:03:28.478 - motion sensor: [x: 0.599609375, y: 0.0048828125, z: 0.5166015625] [x: 0.6259765625, y: 0, z: 0.5146484375] [x: 0.6572265625, y: -0.01171875, z: 0.5078125] [x: 0.66015625, y: -0.029296875, z: 0.5126953125]
11:03:28.538 - motion sensor: [x: 0.6650390625, y: -0.0419921875, z: 0.5244140625] [x: 0.662109375, y: -0.0498046875, z: 0.5498046875] [x: 0.705078125, y: -0.046875, z: 0.595703125] [x: 0.7470703125, y: -0.052734375, z: 0.6396484375]
11:03:28.638 - motion sensor: [x: 0.7783203125, y: -0.060546875, z: 0.66796875] [x: 0.8056640625, y: -0.060546875, z: 0.6787109375] [x: 0.84375, y: -0.0390625, z: 0.70703125] [x: 0.93359375, y: -0.0107421875, z: 0.7685546875]
11:03:28.696 - motion sensor: [x: 0.9384765625, y: 0.00390625, z: 0.8212890625] [x: 1.0263671875, y: 0.03125, z: 0.8720703125] [x: 0.9833984375, y: 0.0205078125, z: 0.8583984375] [x: 0.6923828125, y: -0.0029296875, z: 0.75]
11:03:28.796 - motion sensor: [x: 0.5087890625, y: 0.0302734375, z: 0.6875] [x: 0.580078125, y: 0.0703125, z: 0.685546875] [x: 0.62109375, y: 0.099609375, z: 0.6669921875] [x: 0.650390625, y: 0.115234375, z: 0.623046875]
11:03:28.858 - motion sensor: [x: 0.7041015625, y: 0.12109375, z: 0.6044921875] [x: 0.7568359375, y: 0.1318359375, z: 0.6064453125] [x: 0.7255859375, y: 0.1259765625, z: 0.6083984375] [x: 0.6748046875, y: 0.1298828125, z: 0.5888671875]
11:03:28.959 - motion sensor: [x: 0.6494140625, y: 0.130859375, z: 0.578125] [x: 0.62890625, y: 0.1181640625, z: 0.55859375] [x: 0.626953125, y: 0.1044921875, z: 0.537109375] [x: 0.638671875, y: 0.0830078125, z: 0.5224609375]
11:03:29.019 - motion sensor: [x: 0.66015625, y: 0.0634765625, z: 0.5205078125] [x: 0.6552734375, y: 0.0615234375, z: 0.5234375] [x: 0.662109375, y: 0.0751953125, z: 0.5478515625] [x: 0.6787109375, y: 0.091796875, z: 0.572265625]
11:03:29.138 - motion sensor: [x: 0.7177734375, y: 0.1044921875, z: 0.5966796875] [x: 0.728515625, y: 0.1025390625, z: 0.609375] [x: 0.76171875, y: 0.109375, z: 0.6298828125] [x: 0.7724609375, y: 0.1083984375, z: 0.6494140625]
11:03:29.178 - motion sensor: [x: 0.751953125, y: 0.1064453125, z: 0.65234375] [x: 0.755859375, y: 0.103515625, z: 0.6611328125] [x: 0.8056640625, y: 0.0986328125, z: 0.685546875] [x: 0.84375, y: 0.083984375, z: 0.728515625]
11:03:29.281 - motion sensor: [x: 0.82421875, y: 0.0732421875, z: 0.7275390625] [x: 0.9365234375, y: 0.0888671875, z: 0.748046875] [x: 0.951171875, y: 0.0595703125, z: 0.6982421875] [x: 0.912109375, y: 0.009765625, z: 0.658203125]
11:03:29.356 - motion sensor: [x: 0.900390625, y: -0.041015625, z: 0.6455078125] [x: 0.8662109375, y: -0.0751953125, z: 0.64453125] [x: 0.79296875, y: -0.0830078125, z: 0.6171875] [x: 0.759765625, y: -0.060546875, z: 0.5703125]
11:03:29.459 - motion sensor: [x: 0.7734375, y: -0.029296875, z: 0.544921875] [x: 0.7294921875, y: -0.0107421875, z: 0.51953125] [x: 0.6806640625, y: -0.0009765625, z: 0.494140625] [x: 0.625, y: 0.0078125, z: 0.4853515625]
11:03:29.519 - motion sensor: [x: 0.5751953125, y: 0.025390625, z: 0.4921875] [x: 0.5693359375, y: 0.048828125, z: 0.51171875] [x: 0.6142578125, y: 0.068359375, z: 0.5234375] [x: 0.6630859375, y: 0.0654296875, z: 0.5380859375]
11:03:29.598 - motion sensor: [x: 0.6865234375, y: 0.05078125, z: 0.54296875] [x: 0.72265625, y: 0.02734375, z: 0.5556640625] [x: 0.7236328125, y: 0.005859375, z: 0.5732421875] [x: 0.7255859375, y: -0.017578125, z: 0.60546875]
11:03:29.698 - motion sensor: [x: 0.7109375, y: -0.0341796875, z: 0.623046875] [x: 0.751953125, y: -0.0498046875, z: 0.6474609375] [x: 0.796875, y: -0.0595703125, z: 0.6611328125] [x: 0.8046875, y: -0.0625, z: 0.638671875]
11:03:29.753 - motion sensor: [x: 0.81640625, y: -0.0537109375, z: 0.6416015625] [x: 0.8466796875, y: -0.0341796875, z: 0.6953125] [x: 0.978515625, y: 0.0322265625, z: 0.7900390625] [x: 1.072265625, y: 0.0712890625, z: 0.8564453125]
11:03:29.837 - motion sensor: [x: 0.884765625, y: 0.0732421875, z: 0.81640625] [x: 0.607421875, y: 0.0791015625, z: 0.7646484375] [x: 0.6142578125, y: 0.1083984375, z: 0.76171875] [x: 0.6572265625, y: 0.1201171875, z: 0.7412109375]
