n_samples,acc_pa,acc_ml,acc_si,gyr_pa,gyr_ml,gyr_si,side
3635,-0.5568132851594503,-0.20655018616116477,-11.83704657882693,-13.412493537286547,8.206257020550705,-14.14735599959047,left
3636,-0.30144389983556374,-0.1265591786388329,-12.67318324046067,-12.468500636473827,10.655378726138517,-14.154328864986137,left
3637,-0.21246748042164532,-0.05498334575870739,-13.268090638620805,-12.888951453138304,13.609127595783939,-13.364988792104533,left
3638,-0.3144414479791191,0.1657798710352147,-12.472938466995894,-11.766474154494087,14.988314641332064,-13.933382799210719,left
3639,-0.490798063483167,0.5714477242669656,-12.016193769189387,-9.860437735607967,15.60071889485009,-13.006657984300903,left
3640,-0.8378042559254197,0.9029169753053237,-10.978542904345968,-11.107695935614762,14.192934443487166,-12.712647954813805,left
3641,-1.0550948878945983,1.0566409604884548,-10.245611876555053,-11.609098639266636,12.205274813201992,-12.809689891335438,left
3642,-1.300475312851757,1.2567602501207376,-9.10552954309109,-10.616008776415757,10.04297464640097,-13.912620352868469,left
3643,-1.2517821143250547,1.486731232822391,-8.733701378834134,-7.544869922847039,8.052843639794014,-14.454772905753634,left
3644,-1.0914622511306948,1.6828172107833903,-8.666802111096873,-5.398955804183647,6.232659981107626,-14.43375684109721,left
3645,-0.9153434852996316,1.8175459985421178,-9.288095880993842,-2.6833737307236687,4.523296601420579,-14.293984406893076,left
3646,-1.0056155533009203,1.9746376838063167,-9.668803429208328,-2.7860593739938384,0.8201533632997144,-14.86194527734391,left
3647,-0.953768292880603,2.055130727994591,-9.736488289319118,-3.850210086771755,-5.3002262976465655,-17.007294012858434,left
3648,-0.7008166879252773,2.0718304200266497,-10.064056839322602,-4.646374702437319,-7.569711338944256,-18.520149497622235,left
3649,-0.972369639720077,2.0324698284193876,-9.20372640950635,-4.702471270534588,-7.870999862624124,-20.115056326259577,left
3650,-1.1452026192982352,1.7803295128996868,-8.688726237880017,-1.3140561841484608,-8.91559394065845,-22.70845610102243,left
3651,-1.203284600318229,1.534400092416767,-8.278179215668207,3.665784398132205,-10.008335604199777,-26.005914959966265,left
3652,-0.8744294831181731,1.4961188027653665,-8.251021916329309,7.9848159974858035,-8.989090459852386,-28.400399677090878,left
3653,-0.6485636535591945,1.3527704902115256,-7.765516102184517,9.300585481279953,-4.209626780911414,-27.97634818785305,left
3654,-0.5590741749112316,1.1499053872337675,-7.641144525595955,11.910458647973048,1.372621355368571,-26.535391787289168,left
3655,-0.7523616334858367,0.9847339994507451,-7.447590871382369,13.75907421296278,4.898374881456271,-26.51604248708293,left
3656,-0.5828441371160444,0.9645995197175226,-7.549003879110361,15.588620766655067,5.710466559406703,-27.914676161995555,left
3657,-0.30738260029057773,0.9525680886435519,-7.567391218027181,16.183637219700696,7.083460355244425,-27.317980673103058,left
3658,0.14356135047870477,0.974287648399436,-8.17805407291377,16.914110773308675,9.365775559809892,-24.075658907608087,left
